Date,Time,Waypoint,LAT,LON,Habitat,Boundary,Boundary 2,Height Verbatim,Height Code,Canopy Level – Verbatim,Canopy Level Code,
03/24/08,08:47,137,9.117334,-79.698983,Edge,Urban,Backyard,4-6 meters,3,Mid,3,
03/24/08,08:54,138,9.117309,-79.698987,Edge,Urban,Backyard,4-6 meters,3,Mid,3,
03/24/08,09:08,139,9.117178,-79.698675,Edge,Urban,Backyard,4-6 meters,3,Mid,3,
03/24/08,09:16,140,9.117304,-79.698299,Edge,Urban,Backyard,> 6 meters,4,Top,5,
03/24/08,09:26,141,9.117342,-79.698340,Edge,Gallery,Backyard,6-10 meters,4,Top,5,
03/24/08,10:10,142,9.117295,-79.698380,Edge,Gallery,Backyard,6-10 meters,4,Top,5,
03/24/08,10:23,143,9.117386,-79.698336,Edge,Gallery,Backyard,4-6 meters,4,Upper = Superior,4,
03/24/08,10:30,144,9.117325,-79.698312,Edge,Gallery,Backyard,4-6 meters,4,Upper = Superior,4,
03/24/08,10:41,145,9.117257,-79.698340,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,10:51,146,9.117365,-79.698256,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,11:03,147,9.117401,-79.698339,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,11:13,148,9.117300,-79.698329,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,11:22,149,9.117298,-79.698347,Edge,Gallery,Backyard,4-6 meters,3,Dosel Medio,3,
03/24/08,11:32,150,9.117298,-79.698341,Edge,Gallery,Backyard,4-6 meters,3,Dosel Medio,3,
03/24/08,11:42,151,9.117353,-79.698299,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,11:51,152,9.117330,-79.698371,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,12:01,153,9.117383,-79.698307,Edge,Gallery,Backyard,6-10 meters,4,Upper = Superior,4,
03/24/08,12:11,154,9.117354,-79.698338,Edge,Gallery,Backyard,6-10 meters,4,Upper,4,
03/24/08,12:22,155,9.117473,-79.698210,Edge,Gallery,Backyard,6-10 meters,4,Superior,4,
03/24/08,12:31,156,9.117419,-79.698266,Edge,Gallery,Backyard,6-10 meters,4,Superior,4,
03/24/08,12:41,157,9.117341,-79.698360,Edge,Gallery,Backyard,4-6 meters,3,Mid,3,
03/24/08,12:53,158,9.117154,-79.698702,Edge,Gallery,Backyard,4-6 meters,3,Mid,3,
03/24/08,13:02,159,9.117283,-79.698998,Edge,Gallery,Backyard/Grass,6-10 meters,4,Superior,4,
03/24/08,13:13,160,9.117393,-79.698962,Backyard Tree,,,4-6 meters,3,Mid,3,
03/24/08,13:20,161,9.117356,-79.698978,Edge,Backyard Tree,Backyard/Grass,4-6 meters,3,Mid,3,
03/24/08,13:33,162,9.117447,-79.699145,Edge,Gallery,Manmade,< 4m,2,sotobosque,2,
03/24/08,13:43,163,9.117387,-79.699562,Edge,Gallery,Grass,< 4m,2,sotobosque,2,
