Date,Time,Waypoint,LAT,LON,Habitat,Boundary,Boundary 2,Height Verbatim,Height Code,Canopy Level – Verbatim,Canopy Level Code
03/18/08,17:09,75,9.116064,-79.698789,Edge,Forest,Backyard,< 4 meters,2,,
03/18/08,17:20,76,9.116122,-79.698734,Forest,,,< 4 meters,2,,
03/18/08,17:30,77,9.116098,-79.698668,,,,< 4 meters,2,,
03/18/08,17:40,78,9.115679,-79.698906,Edge,Forest,Backyard,,,,
03/19/08,07:33,79,9.116085,-79.698834,Backyard,,,7 meters,4,,
03/19/08,07:43,80,9.116322,-79.698647,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,07:53,81,9.116349,-79.698578,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,08:03,82,9.116304,-79.698444,Gallery,Backyard,Backyard,> 6 meters,4,,
03/19/08,08:13,83,9.116381,-79.698391,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,08:23,84,9.116297,-79.698393,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,08:33,85,9.116367,-79.698418,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,08:43,86,9.116355,-79.698369,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,08:53,87,9.116299,-79.698458,Gallery,Backyard,Backyard,> 10 meters,5,,
03/19/08,09:03,88,9.116216,-79.698500,Gallery,Backyard,Backyard,> 15 meters,5,,
03/19/08,09:13,89,9.116194,-79.698736,Gallery,Backyard,Backyard,6 meters,4,,
03/19/08,09:23,90,9.116234,-79.698901,Backyard,,,6 meters,4,,
03/19/08,09:33,91,9.115976,-79.698773,Backyard,,,4 meters,3,,
03/19/08,09:43,92,9.116239,-79.698665,Backyard,,,6 meters,4,,
03/19/08,09:53,93,9.116185,-79.698540,,,,,,,
03/19/08,10:03,95,9.116211,-79.698703,Backyard,,,6 meters,4,,
03/19/08,10:13,96,9.116091,-79.698773,,,,,,,
03/19/08,10:23,97,9.116032,-79.698779,Edge,Forest,Backyard,6 meters,3,,
03/19/08,02:42,98,9.115940,-79.696519,Forest,,,10 meters,4,Mid,3
03/19/08,02:52,,,,Forest,,,6 meters,3,Mid,3
03/19/08,03:02,99,9.116011,-79.696592,Forest,,,6 meters,3,Mid,3
03/19/08,03:12,100,9.115970,-79.696620,Edge,Forest,Backyard,6 meters,3,Upper,4
03/19/08,03:22,101,9.116026,-79.696473,Forest,,,10 meters,4,Upper,4
03/19/08,03:32,102,9.115788,-79.696495,Forest,,,10 meters,4,Upper,4
03/19/08,03:42,103,9.115722,-79.696563,Forest,,,> 6 meters,4,Mid,3
03/19/08,03:52,104,9.115342,-79.696530,Forest,,,> 15 meters,5,Upper,4
03/19/08,04:02,105,9.114917,-79.696993,Forest,,,> 10 meters,5,Upper,4
03/19/08,04:12,105,9.114917,-79.696993,Forest,,,> 10 meters,5,Upper,4
03/19/08,04:22,106,9.114983,-79.696981,Forest,,,10 meters,4,Upper,4
03/19/08,04:32,107,9.114688,-79.697056,Forest,,,10 meters,4,Upper,4
03/19/08,04:42,108,9.114397,-79.696978,Forest,,,10 meters,4,Upper,4
03/19/08,04:52,109,9.114240,-79.697326,Edge,Forest,Grass,> 10 meters,5,,
03/19/08,05:02,110,9.113951,-79.697139,Edge,Forest,Road,6 meters,3,Lower,3
03/19/08,05:12,111,9.113733,-79.697180,Edge,Forest,Road,6 meters,3,Lower,3
03/21/08,09:38,112,9.116262,-79.698406,Backyard,,,> 15 meters,4,Upper,4
03/21/08,09:48,113,9.115966,-79.698471,Forest,,,6 meters,3,Mid,3
03/21/08,09:58,114,9.115788,-79.698297,Forest,,,> 6 meters,4,Upper,4
03/21/08,10:08,115,9.115764,-79.697913,Forest,,,> 10 meters,5,Upper,4
03/21/08,10:28,116,9.115427,-79.697165,Edge,Forest,Backyard,6 meters,3,Lower,3
03/21/08,10:38,117,9.115570,-79.696897,Edge,Forest,Backyard,4 meters,3,Lower,3
03/21/08,10:48,118,9.115697,-79.696566,Forest,,,> 4 meters,3,Mid,3
03/21/08,11:18,119,9.115788,-79.696366,Forest,,,> 6 meters,4,Mid,3
