Date,Time,Waypoint,LAT,LON,Habitat,Boundary,Boundary 2,Height Verbatim,Height Code,Canopy Level – Verbatim,Canopy Level Code
04/08/08,15:20,274,9.115667,-79.694072,Forest,,,4-6 meters,3,Mid,3
04/08/08,15:30,275,9.116111,-79.693791,Forest Patch,,,> 10 meters,5,Mid,3
04/08/08,15:40,276,9.116348,-79.693707,Forest Patch,,,4-6 meters,3,Mid,3
04/08/08,15:50,277,9.116345,-79.693692,Forest Patch,,,4-6 meters,3,Mid,3
04/08/08,16:00,278,9.116692,-79.693362,Forest Patch,,,4-6 meters,3,Mid,3
04/08/08,16:10,279,9.116950,-79.693213,Forest Patch,,,4-6 meters,3,Mid,3
04/08/08,16:20,280,9.117408,-79.693557,Edge,Forest,Backyard,6-10 meters,4,Mid,3
04/10/08,09:36,281,9.119663,-79.694866,Forest,,,6-10 meters,4,Upper,4
04/10/08,10:24,282,9.119657,-79.694495,Forest,,,4-6 meters,3,Mid,3
04/10/08,10:34,283,9.119898,-79.694416,Forest,,,6-10 meters,4,Mid,3
04/10/08,10:44,284,9.120129,-79.694488,Forest,,,6-10 meters,4,Mid,3
04/10/08,10:54,285,9.119782,-79.694858,Forest,,,6-10 meters,4,Mid,3
04/10/08,11:04,286,9.119532,-79.694706,Forest,,,> 10 meters,5,Mid,3
04/10/08,11:14,287,9.119598,-79.695074,Forest,,,6-10 meters,4,Mid,3
04/10/08,11:24,288,9.119474,-79.695226,Forest,,,> 10 meters,5,Upper,4
04/10/08,11:34,289,9.119443,-79.695179,Forest,,,6-10 meters,4,Mid,3
04/10/08,11:44,290,9.118986,-79.695168,Forest,,,4-6 meters,3,Mid,3
04/10/08,11:54,291,9.118716,-79.695045,Forest,,,6-10 meters,4,Upper,4
04/10/08,12:04,292,9.118691,-79.694986,Edge,Forest,Lagoon,6-10 meters,4,Upper,4
04/10/08,12:14,293,9.118566,-79.694729,Forest,,,4-6 meters,3,Mid,3
04/10/08,12:26,294,9.118070,-79.694659,Backyard,,,6-10 meters,4,Upper,4
04/10/08,12:36,295,9.117952,-79.694590,Edge,Forest,Backyard,4-6 meters,3,Mid,3
